ArticleID,ArticleTitle,Rec1,Rec2,Rec3,Rec4,Rec5
-5170198873410718233,NTT to buy Dell's services division for $3.05 billion,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,Google's Cloud Investments are Finally Starting to Pay Off,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,What's next for China's booming fintech sector?
-3367778232969996503,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",Serious Business: Is The Sharing Economy Good For Business?,Defining The Sharing Economy: What Is Collaborative Consumption--And What Isn't?,Why Uber Is Killing the Bank (And What That Means for Everything Else),The Conversational Economy Part 1: What's Causing the Bot Craze?,Automation and anxiety
4988225165850707692,The internet of a billion things | ET CIO,Will IIoT bolster industrial automation investments? - ReadWrite,Will blockchain drive the fourth Industrial Revolution?,The Internet of Things,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,IoT Day: A timeline of how IoT is changing the world (infographic)
6023609667389715259,Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,"The price of Ether, a bitcoin rival, is soaring because of a radical, $150 million experiment","Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",The Rise And Growth of Ethereum Gets Mainstream Coverage,Ethereum and Bitcoin Are Market Leaders But Not Competitors
7905485530310717815,Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,From fine wine to lotteries: Blockchain tech takes off - BBC News,4 Blockchain Macro Trends: Where to Place Your Bets,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel
8194079557551008273,Using Gamified Hacking Challenges To Attract New Blockchain Developers,Are you a bitcoin denialist? - Chris Skinner's blog,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,Blockchain CEO's Business Advice on Bitcoin Startups
-4374331682165863764,From fine wine to lotteries: Blockchain tech takes off - BBC News,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Decentralizing IoT networks through blockchain,The Blockchain is the new Google,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum
-8939172344092554931,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,What DeepMind brings to Alphabet,Failing model: Plastic Card + App and Card + Wallet Players?,Google's new NHS deal is start of machine learning marketplace,"Google unleashes DeepMind on energy-hungry datacenter, cutting cooling bill by 40 percent"
-1591454024897803197,How OKCupid Changed Hiring Forever.,Doing Data Science Right - Your Most Common Questions Answered,The new tech talent you need to succeed in digital,What makes a good (Android) Software Engineer,Lessons from Becoming a Data-Driven Organization,Digital Leadership Is Not an Optional Part of Being a CEO
-6874540813378776198,The Hierarchy of Engagement - Greylock Perspectives,3 Pillars of the Most Successful Tech Products,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Organizing for digital acceleration: Making a two-speed IT operating model work,State of the Digital Nation 2016,NOW NEW NEXT: How growth champions create new value
-3173020603774823976,Welcome Google Cloud Platform!,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,World's Fastest Growing Open Source Platform Pushes Out New Release,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,The Top 10 Most Common Mistakes That Node.js Developers Make
-9107331682787867601,Hopper raises $16 million for a travel app that tells you the best time to fly,"A sneak peek at Google's upcoming travel app, Trips","The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Bots won't replace apps. Better apps will replace apps.,Everything you need to know about the big changes coming to Newark airport,How to send better push notifications - the complete guide to push notifications - Growth Bug - App World
1392715980907132808,MedStar Washington Potentially Affected By Bitcoin Ransomware,Are you a bitcoin denialist? - Chris Skinner's blog,IBM's Watson aims to make hospital stays suck a whole lot less,Blockchain CEO's Business Advice on Bitcoin Startups,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,French Senate Will Debate on Bitcoin Regulation
-6142462826726347616,CoinFest 2016: Uniting the World's Bitcoiners,Blockchain CEO's Business Advice on Bitcoin Startups,Are you a bitcoin denialist? - Chris Skinner's blog,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,French Senate Will Debate on Bitcoin Regulation,Venture Capitalists Inject Nearly Half a Billion in Bitcoin
2255603060224026824,French Senate Will Debate on Bitcoin Regulation,Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain CEO's Business Advice on Bitcoin Startups,Governments vs Bitcoin: A Fight For Control,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,Ethereum and Bitcoin Are Market Leaders But Not Competitors
3037840448416371691,Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain CEO's Business Advice on Bitcoin Startups,Panama Papers Scandal Shows How Bitcoin Could Stop Corruption,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Governments vs Bitcoin: A Fight For Control
7767869406844505704,Slice Labs raises $3.9M to insure on-demand workers when they're on the job,The new-world insurance agent,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",German insurance startup Clark closes €13.2M Series A,The insurance tech equation,How Blockchain Technology Can Improve the Insurance Industry
-7202774608580336956,Enable the new Google Contacts for your users from the Admin console,Dial in with ease using the latest Google Calendar app for Android,New settings for 2-Step Verification,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Introducing Casting into Hangouts,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog
5822211783543822544,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Introducing Ask a Female Engineer,Workplace diversity in Brazil: there's still a long way to go,"In war for talent, 'brogrammers' will be losers",Equal Pay Day in the spotlight this year
6152652267138213180,Staying one step ahead at Pixar: An interview with Ed Catmull,"Walt Disney Now Loves Blockchain, Going Trustless in Seattle",So long MVP. Hello Minimum Loveable Product.,Seniority,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,Building Products
9032993320407723266,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs resigns as Apple CEO,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,"Smart Managers Don't Compare People to the ""Average"""
-5715266554592745669,Robots are coming for your job,Automation and anxiety,How Robots Can Acquire New Skills from Their Shared Experience,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,The return of the machinery question,AI Revolution 101 - AI Revolution
8545647269051113523,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,What DeepMind brings to Alphabet,Google's new NHS deal is start of machine learning marketplace,Failing model: Plastic Card + App and Card + Wallet Players?,"Google unleashes DeepMind on energy-hungry datacenter, cutting cooling bill by 40 percent"
668505019835540303,Bayesian machine learning,How to choose algorithms for Microsoft Azure Machine Learning,Generative Models,5 Skills You Need to Become a Machine Learning Engineer | Udacity,Ultimate AI battle - Apple vs. Google,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
-6727393385193911938,"As Microsoft US's AI chatbot turns racist troll, Japan's won't shut up about anime and hay fever",Clippy's Back: The Future of Microsoft Is Chatbots,"So your AI bot went haywire, should you care?","Zo, Microsoft's latest attempt at a chatbot, is ready to converse on Kik app",How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,Japanese for dummies
7351002593233940239,Linux at 25: Q&A With Linus Torvalds,Windows Subsystem for Linux Overview,The Best Linux Distros of 2016,Visual C++ for Linux Development,Linus Torvalds: The mind behind Linux,Linus Torvalds: The mind behind Linux
1083474613819325601,DARPA Wants to Give Radio Waves AI to Stretch Bandwidth,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Clarifying the uses of artificial intelligence in the enterprise,Machine Learning for Designers,How real businesses are using machine learning,5 Skills You Need to Become a Machine Learning Engineer | Udacity
-4994468824009200256,"So your AI bot went haywire, should you care?",Here's how The White House wants the U.S. to approach AI R&D,Andrew Ng: What AI Can and Can't Do,Clippy's Back: The Future of Microsoft Is Chatbots,Artificial intelligence is hard to see,"Google, Amazon and the upcoming battle over AI Assistants"
-4571929941432664145,Machine Learning as a Service: How Data Science Is Hitting the Masses,5 Skills You Need to Become a Machine Learning Engineer | Udacity,IBM wants to bring machine learning to the mainframe,Doing Data Science Right - Your Most Common Questions Answered,How real businesses are using machine learning,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
5441215535748592870,Innovate Finance Allows Bitfury to Join With Bitcoin,Banks Need To Collaborate With Bitcoin and Fintech Developers,Blockchain CEO's Business Advice on Bitcoin Startups,Are you a bitcoin denialist? - Chris Skinner's blog,Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,Venture Capitalists Inject Nearly Half a Billion in Bitcoin
7359520440231676934,Blockstream Among 10 New Firms to Join Hyperledger Blockchain Project - CoinDesk,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",Blockchain won't kill banks: Bitcoin pioneer,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,Could Blockchain Have Protected the Bosses Implicated in the Panama Papers?
4774970687540378081,The economic essentials of digital strategy,Making digital strategy a reality in insurance,Five priorities for competing in an era of digital globalization,An incumbent's guide to digital disruption,Building a digital-banking business,The surprising truth about which countries lead in digital
6102826385978742696,The incestuous relations among containers orchestration tools,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,A Docker Fork: Talk of a Split Is Now on the Table - The New Stack,Docker 1.12: Now with Built-in Orchestration!,Docker Swarm,Your Docker Agenda for April
809601605585939618,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,Bash on Ubuntu on Windows - Download Now!,How to Install and Use the Linux Bash Shell on Windows 10,Microsoft's mobile problem may not be a problem at all,Introducing Docker for Windows Server 2016 - Docker Blog
8742078838645536785,Behind Facebook Messenger's plan to be an app platform,How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web,"Facebook sends a loud message about Messenger bots, but will we hear it?","Facebook Messenger now supports PayPal payments in bots, will track your PayPal receipts",2016 will be the year of conversational commerce - Chris Messina,Bots won't replace apps. Better apps will replace apps.
-1802980374508081539,Google's Schmidt Says Computers Not a Threat to Humans or Jobs,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",'Machine learning' is a revolution as big as the internet or personal computers,Automation and anxiety,The return of the machinery question,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac
-6195775145989617417,LukeW | Obvious Always Wins,Perfect Menu for Mobile Apps - UX Planet,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Mobile marketing statistics 2016,How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup
-2176468683077766369,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",98 personal data points that Facebook uses to target ads to you,Bots won't replace apps. Better apps will replace apps.,Why porting an iOS design to Android will not work,Facebook at Work pushed to 'later this year',How Mark Zuckerberg Led Facebook's War to Crush Google Plus
-1590585250246572231,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Perfect Menu for Mobile Apps - UX Planet,LukeW | Obvious Always Wins,Why porting an iOS design to Android will not work,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",How to Design a Walkthrough That Users Will Read
-4662020648308370136,How to Avoid Building Bad Products with Rapid Validation - Lean Startup Co.,Usability Heuristics for Bots - Chatbots Magazine,Bots won't replace apps. Better apps will replace apps.,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,So long MVP. Hello Minimum Loveable Product.
-4110991218639855802,5 open-source alternatives to Slack,Slack and Google announce partnership focused on better integrating their services,How people using Slack to organise their grocery lists is helping it grow,Slack swips at Skype with video calls and reaction emoji,Threaded messaging is coming to Slack,Introducing Sign in with Slack - Slack Platform Blog
1964631817676172382,IAM best practice guides available now,Cloud Identity and Access Management - Google IAM,Snapchat shares security best practices for running on GCP,Centrally manage all your Google Cloud resources with Cloud Resource Manager,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Google Cloud Platform: The smart person's guide - TechRepublic
5156657166068502754,"Google Showcases Its Cloud Efforts, Determined to Catch Up to Rivals",Diane Greene wants to put the enterprise front and center of Google Cloud strategy,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Google Cloud Platform: The smart person's guide - TechRepublic,Analyst: Google's cloud business could cause the stock to soar to over $900
-4102297002729307038,Acquia's Dev Desktop - a Drupal server for beginners,Dries Buytaert,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption","Acquia Releases Lightning for Drupal 8, Enabling Fast Starts for Digital Experience Deployments [July 19, 2016]",Choosing Modules and Themes for Drupal 8,Dries Distributions remain a growing opportunity for Drupal - Buytaert
2093656054622337275,Introducing the Google API Console,Chrome DevTools - Console API Reference,"Google Cloud Endpoints now generally available: a fast, scalable API gateway",Most Interesting APIs in 2016: Cognitive Computing,"Google Cloud Machine Learning family grows with new API, editions and pricing",The Rise of the API-based SaaS
9122627895188486603,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Sources: Snapchat is raising more money at about a $20 billion valuation,Facebook at Work pushed to 'later this year',Slack raises $200m at $3.8b valuation for business messaging,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",How people using Slack to organise their grocery lists is helping it grow
1933229167501870037,Perfect Menu for Mobile Apps - UX Planet,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,LukeW | Obvious Always Wins,How to Design a Walkthrough That Users Will Read,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Usability Heuristics for Bots - Chatbots Magazine
7528802258213768379,Paragraphs,Drupal 8.1.0 is now available,14 Cool Drupal 8 modules for site builders | August 2016,Choosing Modules and Themes for Drupal 8,Dries Buytaert,The Risks and Rewards of Fully Decoupling Drupal | Acquia
-9083294960368598209,Drupal How-To: Responsive or Adaptive Images? | Acquia,Choosing Modules and Themes for Drupal 8,Drupal 8.1.0 is now available,Dries Buytaert,14 Cool Drupal 8 modules for site builders | August 2016,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption"
-6136272094613269629,Top 10 contributing customers,Dries Buytaert,Who sponsors Drupal development? | Dries Buytaert,Drupal and ambitious digital experiences,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Drupal 8.1.0 is now available
787067277772219433,Setting up Drupal Code Sniffer,Coder | Drupal.org,Dries Buytaert,Drupal 8.1.0 is now available,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),15 Awesome Sublime Text Plugins For Web Development
-2778760500673113802,"Bitcoin Mining, Ethereum Mining, Cloud Mining: 2016 Overview",Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,Mining in Space Could Lead to Conflicts on Earth - Facts So Romantic - Nautilus,Ethereum and Bitcoin Are Market Leaders But Not Competitors,Are you a bitcoin denialist? - Chris Skinner's blog,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's"
-6725796505137573953,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,Are you a bitcoin denialist? - Chris Skinner's blog,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Blockchain won't kill banks: Bitcoin pioneer,Banks find blockchain hard to put into practice - FT.com
1457728991321948254,Wall Street Goes Big on Bitcoin Tech,Banks find blockchain hard to put into practice - FT.com,DTCC and Digital Asset Holdings to Test Blockchain Solutions for the $2.6 Trillion Repo Market,Blockchain Will Be Used By 15% of Big Banks By 2017,Blockchain won't kill banks: Bitcoin pioneer,Are you a bitcoin denialist? - Chris Skinner's blog
-7101541512657907485,Coin Center Opens Nominations for the 2016 Blockchain Awards - CoinDesk,IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,The 2017 Acquia Partners of the Year,Global Blockchain Forum Launched to Coordinate Regulatory Interoperability and Best Practices,The Blockchain is the new Google,Venture Capitalists Inject Nearly Half a Billion in Bitcoin
5281570276277574938,Cognitive Services-Intelligence Applications | Microsoft Azure,Clarifying the uses of artificial intelligence in the enterprise,The Competitive Landscape for Machine Intelligence,The Competitive Landscape for Machine Intelligence,Machine Intelligence - Research at Google,Democratizing AI
1128840733277618400,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Google Cloud Platform: The smart person's guide - TechRepublic,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Google's Cloud Machine Learning service is now in public beta,"Google Showcases Its Cloud Efforts, Determined to Catch Up to Rivals"
-7356135999773525293,Fooling The Machine,Fooling The Machine,Fooling The Machine,Fooling The Machine,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
2313825045587317872,Spotify's Event Delivery - The Road to the Cloud (Part III),"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all","Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent","What do you mean by ""Event-Driven""?",Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Spotify chooses Google Cloud Platform to power data infrastructure
-518690781085251687,What's the Best Cloud? Probably GCP,Google Cloud Platform for AWS Professionals,Google Cloud Platform: The smart person's guide - TechRepublic,Spark comparison: AWS vs. GCP,8 must-see sessions for application developers at Google Cloud Next '17,The five phases of migrating to Google Cloud Platform
3067875254349597654,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,Solidity Available in Visual Studio - Ethereum Blog,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",The Rise And Growth of Ethereum Gets Mainstream Coverage,Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk"
5619251370090681244,Google Cloud Platform for AWS Professionals,Google Cloud Platform: The smart person's guide - TechRepublic,What's the Best Cloud? Probably GCP,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Advancing enterprise database workloads on Google Cloud Platform,Now playing: New ISO security and privacy certifications for Google Cloud Platform
7420742904084384944,Fooling The Machine,Fooling The Machine,Fooling The Machine,Fooling The Machine,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
8219310215587599928,Fooling The Machine,Fooling The Machine,Fooling The Machine,Fooling The Machine,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
7748594134538052724,Fooling The Machine,Fooling The Machine,Fooling The Machine,Fooling The Machine,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
8565115980515859979,Calculating and searching 500 billion digits of Pi,Compute Engine now with 3 TB of high-speed Local SSD and 64 TB of Persistent Disk per VM,Google Cloud Platform for AWS Professionals,A New Number Format for Computers Could Nuke Approximation Errors for Good,Asus ready to take bite of 'Pi' market with Tinker micro PC,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi
-5973686110278905367,The Internet of Things,Lessons from Becoming a Data-Driven Organization,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business,It's coming! The Internet of Eyes will allow objects to see,The economic essentials of digital strategy,Doing Data Science Right - Your Most Common Questions Answered
-1039912738963181810,"Apple launches Safari Technology Preview, a browser for developers including experimental web features","Android N Developer Preview 2, out today! | Android Developers Blog","Android N Developer Preview 2, out today! | Android Developers Blog",Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,What to Expect at WWDC 2016,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
3172866488852888544,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,29 Common Google Analytics Data Errors And How To Fix Them,This year's Founders' Letter,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Calm down: Google's use of Material Design on iOS is fine,The Complete Google Analytics Audit Checklist | Optimization Up
8095004770374551394,Microsoft Build: the 10 most important announcements,Windows 10 Anniversary SDK is bringing exciting opportunities to developers,Exclusive: Why Microsoft is betting its future on AI,Microsoft's mobile problem may not be a problem at all,Microsoft's new AI tools help developers build smart apps and bots,Clippy's Back: The Future of Microsoft Is Chatbots
8801106199759296338,Foxconn finalises Sharp takeover - BBC News,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,Japanese for dummies,Learn Japanese Online | Japanese Podcast| JapaneseLingQ.com,"JPMorgan Software Does in Seconds What Took Lawyers 360,000 Hours","Three cultures, three continents and three lessons on leadership"
-4760639635023250284,Spotify chooses Google Cloud Platform to power data infrastructure,Google Cloud Platform: The smart person's guide - TechRepublic,Advancing enterprise database workloads on Google Cloud Platform,Google Cloud Platform sets a course for new horizons,Now playing: New ISO security and privacy certifications for Google Cloud Platform,Google Cloud Platform for AWS Professionals
-9137036168156595470,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",Dries Buytaert,Drupal 8.1.0 is now available,Choosing Modules and Themes for Drupal 8,14 Cool Drupal 8 modules for site builders | August 2016,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!)
-454649054276160610,The Future of Pen: Windows Ink,Windows 10 Anniversary SDK is bringing exciting opportunities to developers,Microsoft's mobile problem may not be a problem at all,Introducing Docker for Windows Server 2016 - Docker Blog,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,"Microsoft: Windows Phone is not the place to do ""new and exciting things"" - MSPoweruser"
-36844712915106340,Windows 10 Anniversary SDK is bringing exciting opportunities to developers,The Future of Pen: Windows Ink,Microsoft Build: the 10 most important announcements,Microsoft's mobile problem may not be a problem at all,Introducing Docker for Windows Server 2016 - Docker Blog,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet
5333141914314968598,"Microsoft HoloLens and Lowe's, working to redefine your next home renovation",The 7 Coolest Virtual Reality Experiences Made with Hololens So Far,Microsoft Build: the 10 most important announcements,Democratizing AI,The Future of Business is Design,Ikea ponders the future of retail with virtual reality pilot app
-8248141950199177506,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Drupal 8.1.0 is now available,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),The Netflix Tech Blog: Netflix Billing Migration to AWS,14 Cool Drupal 8 modules for site builders | August 2016,Choosing Modules and Themes for Drupal 8
-5431549861280885742,Coder | Drupal.org,Dries Buytaert,Drupal 8.1.0 is now available,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Drupal and ambitious digital experiences,The Risks and Rewards of Fully Decoupling Drupal | Acquia
1003778007373126185,Spotify Raises $1 Billion in Debt Financing,Concrete things you can do about your technical debt,Spotify chooses Google Cloud Platform to power data infrastructure,Spotify's Latest Algorithmic Playlist Is Full of Your Favorite New Music,Building a technical career path at Spotify,The Spotify Tribe
